time,open,high,low,close,volume
2012-12-04,85.6290,85.9150,85.4110,85.6950,86552
2012-12-05,85.6940,86.2470,85.6530,86.1350,59470
2012-12-06,86.1350,86.5620,85.9700,86.2730,82762
2012-12-07,86.2740,86.7010,86.0850,86.4730,75250
2012-12-10,86.5560,86.6050,86.0350,86.3300,69169
2012-12-11,86.3310,86.9490,86.1480,86.9390,69863
2012-12-12,86.9380,88.0480,86.8820,87.7380,82504
2012-12-13,87.7400,88.2930,87.6740,87.9930,86553
2012-12-14,87.9920,88.5240,87.7910,88.2090,86687
2012-12-17,88.9050,88.9080,88.0660,88.4340,87774
2012-12-18,88.4330,88.7420,88.2100,88.6200,84820
2012-12-19,88.6220,88.8660,87.8760,88.0550,92088
2012-12-20,88.0560,88.5100,87.8320,88.3560,88156
2012-12-21,88.3570,88.4720,87.5220,87.6010,92759
2012-12-24,87.7970,87.9890,87.6410,87.8630,53124
2012-12-26,88.3650,88.8320,88.3390,88.6270,56092
2012-12-27,88.6280,89.4990,88.6100,89.3870,93037
2012-12-28,89.3880,89.8050,89.0150,89.0250,85242
2012-12-31,88.9980,90.1450,88.9880,89.8850,63015
2013-01-01,90.0670,90.2610,89.9100,90.0090,1200
2013-01-02,90.0120,91.7340,89.8050,91.6970,99981
2013-01-03,91.6930,91.7000,91.1000,91.4300,94744
2013-01-04,91.4310,92.4550,91.4020,92.3440,108153
2013-01-07,92.8130,92.8190,91.7450,91.8760,100739
2013-01-08,91.8780,92.1130,91.1790,91.2060,105262
2013-01-09,91.2030,92.5370,91.2010,92.4760,106072
2013-01-10,92.4730,94.3310,92.3230,94.1690,113277
2013-01-11,94.1750,94.4950,93.7720,93.9340,108999
2013-01-14,94.2390,94.6360,94.0540,94.4560,99621
2013-01-15,94.4550,94.6220,93.0940,93.7830,118097
2013-01-16,93.7810,93.8400,92.4610,93.5460,117653
2013-01-17,93.5480,94.9800,92.5280,94.8250,128849
2013-01-18,94.8280,94.9990,94.1610,94.6560,113441
2013-01-21,94.6750,94.7580,93.9300,94.4070,92971
2013-01-22,94.4020,94.8860,93.2920,93.7120,121413
2013-01-23,93.7110,93.7830,92.7930,93.2510,113976
2013-01-24,93.2490,94.6560,93.0050,94.5040,120565
2013-01-25,94.5040,95.0800,94.3310,94.7300,113549
2013-01-28,94.8480,94.9950,94.0860,94.3230,106686
2013-01-29,94.3210,95.0360,94.1690,94.9750,112552
2013-01-30,94.9750,95.4520,94.7060,94.8370,110376
2013-01-31,94.8370,95.7120,94.2450,95.6790,111655
2013-02-01,95.6780,96.7030,95.3920,96.5740,116747
2013-02-04,96.6970,97.0680,95.9560,96.0830,110971
2013-02-05,96.0810,97.4060,95.9460,97.3150,122509
2013-02-06,97.3160,97.3440,96.0970,96.3910,119691
2013-02-07,96.3920,97.0260,95.8150,96.3710,117266
2013-02-08,96.3700,96.3860,95.1230,95.6050,111289
2013-02-11,95.4180,96.8560,95.1590,96.6830,105960
