time,open,high,low,close,volume
2012-12-04,1.0421,1.0484,1.0409,1.0466,75687
2012-12-05,1.0465,1.0483,1.0441,1.0451,46753
2012-12-06,1.0451,1.0515,1.0440,1.0470,74430
2012-12-07,1.0470,1.0496,1.0459,1.0485,64927
2012-12-10,1.0486,1.0505,1.0464,1.0485,58746
2012-12-11,1.0485,1.0539,1.0460,1.0535,61953
2012-12-12,1.0535,1.0585,1.0522,1.0549,67980
2012-12-13,1.0549,1.0563,1.0507,1.0524,66566
2012-12-14,1.0524,1.0577,1.0509,1.0565,66572
2012-12-17,1.0567,1.0567,1.0525,1.0545,59732
2012-12-18,1.0545,1.0556,1.0515,1.0517,61932
2012-12-19,1.0517,1.0532,1.0472,1.0475,71247
2012-12-20,1.0475,1.0499,1.0461,1.0476,70161
2012-12-21,1.0476,1.0482,1.0393,1.0396,72405
2012-12-24,1.0406,1.0415,1.0357,1.0365,45955
2012-12-26,1.0363,1.0385,1.0344,1.0371,41677
2012-12-27,1.0371,1.0388,1.0345,1.0364,68195
2012-12-28,1.0364,1.0396,1.0360,1.0371,62692
2012-12-31,1.0374,1.0407,1.0364,1.0382,52402
2013-01-01,1.0395,1.0403,1.0377,1.0378,1195
2013-01-02,1.0378,1.0523,1.0374,1.0501,88488
2013-01-03,1.0502,1.0527,1.0456,1.0458,75286
2013-01-04,1.0458,1.0486,1.0394,1.0478,78871
2013-01-07,1.0509,1.0511,1.0467,1.0506,75232
2013-01-08,1.0506,1.0515,1.0469,1.0503,75934
2013-01-09,1.0503,1.0535,1.0486,1.0506,77999
2013-01-10,1.0506,1.0597,1.0493,1.0591,82311
2013-01-11,1.0591,1.0594,1.0529,1.0533,78276
2013-01-14,1.0531,1.0577,1.0521,1.0557,75193
2013-01-15,1.0557,1.0569,1.0525,1.0559,81600
2013-01-16,1.0559,1.0579,1.0531,1.0562,81996
2013-01-17,1.0562,1.0566,1.0494,1.0542,88605
2013-01-18,1.0542,1.0556,1.0485,1.0508,80886
2013-01-21,1.0501,1.0525,1.0492,1.0512,58610
2013-01-22,1.0512,1.0578,1.0503,1.0559,82958
2013-01-23,1.0559,1.0567,1.0526,1.0533,76560
2013-01-24,1.0533,1.0547,1.0443,1.0452,84805
2013-01-25,1.0452,1.0468,1.0401,1.0422,81562
2013-01-28,1.0415,1.0429,1.0384,1.0405,76919
2013-01-29,1.0405,1.0474,1.0405,1.0466,79131
2013-01-30,1.0466,1.0475,1.0398,1.0415,79420
2013-01-31,1.0415,1.0451,1.0379,1.0431,80335
2013-02-01,1.0431,1.0444,1.0360,1.0405,81666
2013-02-04,1.0416,1.0441,1.0408,1.0433,74642
2013-02-05,1.0433,1.0456,1.0370,1.0385,82564
2013-02-06,1.0385,1.0399,1.0295,1.0308,82040
