time,open,high,low,close,volume
2012-12-04,0.8112,0.8138,0.8099,0.8131,79146
2012-12-05,0.8131,0.8147,0.8111,0.8120,53962
2012-12-06,0.8120,0.8124,0.8065,0.8076,80436
2012-12-07,0.8076,0.8080,0.8045,0.8057,77079
2012-12-10,0.8044,0.8058,0.8034,0.8048,71251
2012-12-11,0.8048,0.8077,0.8042,0.8071,73854
2012-12-12,0.8071,0.8100,0.8060,0.8098,77032
2012-12-13,0.8098,0.8119,0.8088,0.8114,77208
2012-12-14,0.8114,0.8144,0.8096,0.8136,77812
2012-12-17,0.8147,0.8148,0.8111,0.8122,77062
2012-12-18,0.8123,0.8145,0.8116,0.8138,74433
2012-12-19,0.8138,0.8168,0.8116,0.8121,83216
2012-12-20,0.8122,0.8161,0.8122,0.8136,80456
2012-12-21,0.8136,0.8154,0.8114,0.8151,85958
2012-12-24,0.8154,0.8184,0.8147,0.8174,52276
2012-12-26,0.8176,0.8208,0.8173,0.8194,48518
2012-12-27,0.8194,0.8224,0.8184,0.8217,78117
2012-12-28,0.8218,0.8225,0.8166,0.8174,72641
2012-12-31,0.8174,0.8185,0.8103,0.8124,60351
2013-01-01,0.8119,0.8129,0.8115,0.8122,859
2013-01-02,0.8122,0.8151,0.8104,0.8113,98721
2013-01-03,0.8114,0.8120,0.8085,0.8103,89024
2013-01-04,0.8103,0.8142,0.8096,0.8130,89482
2013-01-07,0.8134,0.8149,0.8104,0.8137,90890
2013-01-08,0.8137,0.8161,0.8135,0.8144,90134
2013-01-09,0.8144,0.8162,0.8133,0.8149,89855
2013-01-10,0.8150,0.8212,0.8143,0.8206,96693
2013-01-11,0.8206,0.8286,0.8203,0.8270,93637
2013-01-14,0.8285,0.8325,0.8279,0.8321,94213
2013-01-15,0.8321,0.8324,0.8265,0.8278,102576
2013-01-16,0.8278,0.8318,0.8264,0.8305,97238
2013-01-17,0.8305,0.8365,0.8298,0.8359,99574
2013-01-18,0.8359,0.8396,0.8354,0.8391,94455
2013-01-21,0.8396,0.8420,0.8377,0.8407,78552
2013-01-22,0.8407,0.8440,0.8363,0.8409,95620
2013-01-23,0.8409,0.8420,0.8378,0.8406,90239
2013-01-24,0.8406,0.8480,0.8390,0.8471,91844
2013-01-25,0.8471,0.8536,0.8461,0.8517,97375
2013-01-28,0.8531,0.8586,0.8526,0.8568,93369
2013-01-29,0.8568,0.8569,0.8527,0.8557,92990
2013-01-30,0.8557,0.8606,0.8556,0.8589,93529
2013-01-31,0.8589,0.8591,0.8552,0.8566,93443
2013-02-01,0.8565,0.8716,0.8564,0.8690,102228
2013-02-04,0.8690,0.8692,0.8567,0.8572,94112
2013-02-05,0.8572,0.8687,0.8552,0.8671,100587
2013-02-06,0.8672,0.8680,0.8615,0.8629,98138
2013-02-07,0.8629,0.8661,0.8515,0.8522,101692
2013-02-08,0.8522,0.8532,0.8446,0.8452,92931
2013-02-11,0.8466,0.8573,0.8456,0.8563,88917
2013-02-12,0.8562,0.8630,0.8540,0.8579,94288
2013-02-13,0.8579,0.8683,0.8570,0.8654,91570
2013-02-14,0.8655,0.8666,0.8585,0.8619,95496
2013-02-15,0.8619,0.8632,0.8573,0.8606,92435
2013-02-18,0.8612,0.8648,0.8602,0.8630,78133
2013-02-19,0.8630,0.8685,0.8600,0.8678,84933
2013-02-20,0.8678,0.8764,0.8675,0.8719,96561
2013-02-21,0.8719,0.8758,0.8629,0.8648,103170
2013-02-22,0.8648,0.8699,0.8604,0.8697,90499
2013-02-25,0.8731,0.8815,0.8601,0.8610,116911
2013-02-26,0.8610,0.8647,0.8575,0.8634,115036
2013-02-27,0.8634,0.8679,0.8622,0.8662,112607
2013-02-28,0.8662,0.8676,0.8600,0.8613,102321
2013-03-01,0.8613,0.8684,0.8608,0.8656,100078
2013-03-04,0.8657,0.8664,0.8613,0.8616,13252
2013-03-05,0.8617,0.8635,0.8589,0.8623,14721
2013-03-06,0.8622,0.8668,0.8618,0.8659,25401
2013-03-07,0.8659,0.8732,0.8636,0.8728,43814
2013-03-08,0.8729,0.8742,0.8676,0.8709,33436
2013-03-11,0.8712,0.8748,0.8703,0.8741,30684
2013-03-12,0.8741,0.8793,0.8718,0.8744,40184
2013-03-13,0.8744,0.8745,0.8663,0.8683,41045
2013-03-14,0.8683,0.8684,0.8611,0.8626,43244
2013-03-15,0.8626,0.8659,0.8602,0.8649,41221
2013-03-18,0.8541,0.8591,0.8531,0.8574,48878
2013-03-19,0.8574,0.8586,0.8505,0.8519,52073
2013-03-20,0.8519,0.8601,0.8519,0.8569,52668
2013-03-21,0.8569,0.8573,0.8489,0.8500,51787
2013-03-22,0.8500,0.8545,0.8484,0.8526,45003
2013-03-25,0.8514,0.8561,0.8458,0.8473,51927
2013-03-26,0.8473,0.8498,0.8459,0.8482,41880
2013-03-27,0.8482,0.8485,0.8436,0.8446,46109
2013-03-28,0.8446,0.8476,0.8415,0.8435,44897
2013-03-29,0.8435,0.8443,0.8424,0.8427,30174
2013-04-01,0.8429,0.8445,0.8410,0.8433,25542
2013-04-02,0.8433,0.8494,0.8425,0.8488,40653
2013-04-03,0.8488,0.8494,0.8468,0.8486,39998
2013-04-04,0.8486,0.8521,0.8435,0.8491,50792
2013-04-05,0.8490,0.8515,0.8468,0.8471,48136
2013-04-08,0.8474,0.8532,0.8463,0.8527,43771
2013-04-09,0.8527,0.8559,0.8507,0.8538,49763
2013-04-10,0.8538,0.8560,0.8518,0.8524,41896
2013-04-11,0.8524,0.8535,0.8504,0.8518,44244
2013-04-12,0.8518,0.8548,0.8489,0.8543,43962
2013-04-15,0.8540,0.8549,0.8514,0.8530,52479
2013-04-16,0.8530,0.8597,0.8522,0.8576,55413
2013-04-17,0.8576,0.8636,0.8533,0.8550,55682
2013-04-18,0.8550,0.8573,0.8529,0.8539,51356
2013-04-19,0.8539,0.8582,0.8503,0.8567,43801
2013-04-22,0.8579,0.8589,0.8540,0.8542,59790
2013-04-23,0.8543,0.8568,0.8510,0.8532,48831
2013-04-24,0.8532,0.8538,0.8497,0.8524,44517
2013-04-25,0.8523,0.8532,0.8409,0.8428,51434
2013-04-26,0.8428,0.8447,0.8397,0.8417,47839
2013-04-29,0.8433,0.8457,0.8404,0.8449,42305
2013-04-30,0.8449,0.8485,0.8425,0.8474,44555
2013-05-01,0.8474,0.8497,0.8460,0.8474,37776
2013-05-02,0.8474,0.8482,0.8404,0.8409,44814
2013-05-03,0.8409,0.8449,0.8406,0.8418,40386
2013-05-06,0.8424,0.8437,0.8400,0.8411,29115
2013-05-07,0.8412,0.8466,0.8409,0.8447,37139
2013-05-08,0.8447,0.8488,0.8442,0.8467,40843
2013-05-09,0.8467,0.8473,0.8430,0.8444,45609
