time,open,high,low,close,volume
2012-12-04,107.3060,107.3860,106.9190,107.2230,62423
2012-12-05,107.2220,107.9550,107.1290,107.7180,60330
2012-12-06,107.7190,107.8810,106.6030,106.7760,62005
2012-12-07,106.7750,107.0680,106.1160,106.6300,56354
2012-12-10,106.4850,106.6340,105.9710,106.5530,52927
2012-12-11,106.5530,107.4100,106.4670,107.3610,53978
2012-12-12,107.3630,109.0280,107.2540,108.7180,61040
2012-12-13,108.7190,109.5270,108.6340,109.3240,63473
2012-12-14,109.3250,109.9720,109.0380,109.9020,63490
2012-12-17,110.9240,110.9340,109.9250,110.3690,60324
2012-12-18,110.3690,111.4640,110.3600,111.4330,58176
2012-12-19,111.4340,112.4870,110.8060,110.9940,68974
2012-12-20,111.0070,112.1390,110.7230,111.7120,69334
2012-12-21,111.7210,111.7680,110.6150,111.0760,74194
2012-12-24,111.1860,111.9970,111.1220,111.7880,42168
2012-12-26,112.4480,113.3760,112.4380,113.0360,41723
2012-12-27,113.0350,114.3090,113.0200,114.2040,72394
2012-12-28,114.1830,114.6820,113.2870,113.5390,62326
2012-12-31,113.4240,114.4320,113.4240,114.3040,44848
2013-01-01,114.4470,114.7680,114.3450,114.5800,3106
2013-01-02,114.5790,115.9880,114.1690,115.1780,96811
2013-01-03,115.1810,115.1810,113.6470,113.9810,63692
2013-01-04,113.9790,115.4030,113.9680,115.1910,67876
2013-01-07,115.5170,115.5190,114.1050,114.7960,64517
2013-01-08,114.7980,115.2250,113.5450,113.6030,66856
2013-01-09,113.6020,115.0210,113.5920,114.9280,66811
2013-01-10,114.9260,118.2240,114.8140,117.9760,73141
2013-01-11,117.9720,119.3270,117.6260,118.9870,75297
2013-01-14,119.5930,120.1150,118.8810,119.6840,66497
2013-01-15,119.6850,119.9720,117.6130,118.1000,84046
2013-01-16,118.0970,118.1730,116.4630,117.7060,82677
2013-01-17,117.7010,120.5840,117.0010,120.3090,88088
2013-01-18,120.3100,120.6950,119.3420,119.9720,78655
2013-01-21,120.0020,120.1470,118.8810,119.5920,65278
2013-01-22,119.5840,120.1500,117.3260,118.2320,87655
2013-01-23,118.2310,118.3240,117.0480,117.8360,76993
2013-01-24,117.8350,121.0610,117.5770,120.9760,81474
2013-01-25,120.9720,122.7660,120.6620,122.3350,77012
2013-01-28,122.5760,122.9010,121.6210,121.8840,69346
2013-01-29,121.8780,122.5540,121.2130,122.3970,75273
2013-01-30,122.3940,123.8500,122.3240,123.5590,79413
2013-01-31,123.5580,124.6580,122.9790,124.6340,77948
2013-02-01,124.6340,126.9640,124.6160,126.6190,86398
2013-02-04,126.6930,126.7680,124.1690,124.3590,82883
2013-02-05,124.3610,127.4040,124.0140,127.2750,93886
2013-02-06,127.2760,127.6940,125.9300,126.4150,89521
2013-02-07,126.4160,127.4520,124.4900,125.5260,89292
2013-02-08,125.5260,125.5630,123.4240,123.8320,84815
2013-02-11,123.7460,126.6160,123.6030,126.3060,77482
2013-02-12,126.3050,126.9420,125.0000,125.4040,89020
2013-02-13,125.4050,126.5590,124.7710,125.3740,82500
2013-02-14,125.3740,125.9480,123.8080,124.0680,83993
2013-02-15,124.0680,125.2730,122.8980,124.8750,68502
2013-02-18,125.3020,125.8830,125.0060,125.3830,45556
2013-02-19,125.3850,125.4460,124.5520,125.2330,46411
2013-02-20,125.2340,125.8810,124.1720,124.5150,53653
2013-02-21,124.5140,124.6930,122.2600,122.6430,53831
2013-02-22,122.6510,123.7620,122.5620,123.1960,49309
2013-02-25,124.2660,125.2070,118.7360,120.3380,67902
2013-02-26,120.3360,121.3520,118.9730,120.1570,72828
2013-02-27,120.1560,121.4500,119.2130,121.1200,60373
2013-02-28,121.1140,121.8160,120.5200,121.0330,54424
2013-03-01,121.0320,122.1510,120.3510,121.8380,54557
2013-03-04,121.7370,121.9760,121.1300,121.7450,15305
2013-03-05,121.7470,121.8480,121.1420,121.7640,13611
2013-03-06,121.7800,122.2710,121.5130,121.9610,32148
2013-03-07,121.9610,124.5780,121.8500,124.3920,67553
2013-03-08,124.3910,125.8980,123.7980,124.8210,54555
2013-03-11,124.9030,125.9730,124.6380,125.9280,51943
2013-03-12,125.9300,126.0300,124.3820,124.9070,69345
2013-03-13,124.9070,125.2140,124.1750,124.4370,72572
2013-03-14,124.4320,125.2370,124.0480,125.0020,72602
2013-03-15,125.0020,125.7820,124.2050,124.5890,66336
2013-03-18,122.4740,123.9460,121.6330,123.4380,79549
2013-03-19,123.4390,124.1210,121.8280,122.1720,77600
2013-03-20,122.1720,124.4940,122.0270,124.2390,70005
2013-03-21,124.2410,124.3700,122.0390,122.6310,79201
2013-03-22,122.6310,123.4540,121.4590,122.6630,69806
2013-03-25,122.7470,123.8470,120.0770,121.1620,79355
2013-03-26,121.1640,121.7310,120.7200,121.7240,69428
2013-03-27,121.7220,121.8650,119.9560,120.5600,69414
2013-03-28,120.5610,120.9400,119.7430,120.8260,66891
2013-03-29,120.8260,120.8280,120.2880,120.7270,41712
2013-04-01,120.7410,120.8650,119.4930,119.6930,48121
2013-04-02,119.6950,120.1410,119.1360,119.7140,62752
2013-04-03,119.7150,120.1710,119.1050,119.5410,58592
2013-04-04,119.5420,124.6690,119.1500,124.6270,78182
2013-04-05,124.6250,127.2820,123.8620,126.7100,84584
2013-04-08,127.6500,129.5010,127.4120,129.4950,80217
2013-04-09,129.4940,130.0880,128.4300,129.7270,77353
2013-04-10,129.7290,130.5280,129.4010,130.4070,69286
2013-04-11,130.4070,131.1110,129.6970,130.7960,71332
2013-04-12,130.7910,130.7910,128.5840,128.9850,74146
2013-04-15,128.8540,129.3130,124.9630,125.9880,96776
