time,open,high,low,close,volume
2012-12-04,1.3058,1.3107,1.3045,1.3094,55870
2012-12-05,1.3093,1.3125,1.3060,1.3070,54075
2012-12-06,1.3070,1.3086,1.2950,1.2957,57791
2012-12-07,1.2957,1.2972,1.2877,1.2926,53249
2012-12-10,1.2899,1.2946,1.2885,1.2940,49425
2012-12-11,1.2940,1.3014,1.2928,1.3008,51764
2012-12-12,1.3008,1.3096,1.2995,1.3070,52652
2012-12-13,1.3070,1.3100,1.3040,1.3075,51960
2012-12-14,1.3075,1.3173,1.3066,1.3162,52693
2012-12-17,1.3182,1.3186,1.3144,1.3159,47536
2012-12-18,1.3159,1.3238,1.3156,1.3223,46294
2012-12-19,1.3224,1.3308,1.3189,1.3199,56575
2012-12-20,1.3199,1.3294,1.3199,1.3245,54315
2012-12-21,1.3246,1.3246,1.3157,1.3187,61536
2012-12-24,1.3179,1.3233,1.3171,1.3187,32298
2012-12-26,1.3187,1.3253,1.3183,1.3220,27835
2012-12-27,1.3220,1.3283,1.3201,1.3234,48243
2012-12-28,1.3234,1.3256,1.3165,1.3215,45173
2012-12-31,1.3216,1.3234,1.3172,1.3196,36556
2013-01-01,1.3204,1.3219,1.3198,1.3205,1377
2013-01-02,1.3205,1.3299,1.3157,1.3189,83431
2013-01-03,1.3189,1.3189,1.3025,1.3037,50519
2013-01-04,1.3036,1.3088,1.2997,1.3068,49254
2013-01-07,1.3078,1.3128,1.3016,1.3125,48815
2013-01-08,1.3125,1.3139,1.3057,1.3080,50086
2013-01-09,1.3080,1.3095,1.3036,1.3054,48758
2013-01-10,1.3054,1.3279,1.3038,1.3267,53915
2013-01-11,1.3267,1.3364,1.3248,1.3342,54809
2013-01-14,1.3362,1.3403,1.3336,1.3377,50048
2013-01-15,1.3376,1.3393,1.3266,1.3297,57596
2013-01-16,1.3297,1.3324,1.3256,1.3290,53389
2013-01-17,1.3291,1.3387,1.3270,1.3374,54847
2013-01-18,1.3374,1.3398,1.3280,1.3319,53787
2013-01-21,1.3311,1.3332,1.3299,1.3315,37620
2013-01-22,1.3315,1.3371,1.3267,1.3321,55080
2013-01-23,1.3321,1.3354,1.3264,1.3309,47766
2013-01-24,1.3310,1.3392,1.3286,1.3379,55147
2013-01-25,1.3379,1.3478,1.3350,1.3463,57450
2013-01-28,1.3460,1.3477,1.3424,1.3445,50182
2013-01-29,1.3445,1.3496,1.3414,1.3487,53730
2013-01-30,1.3487,1.3586,1.3482,1.3568,57285
2013-01-31,1.3568,1.3593,1.3541,1.3587,53999
2013-02-01,1.3586,1.3711,1.3583,1.3639,63059
2013-02-04,1.3649,1.3653,1.3498,1.3503,57532
2013-02-05,1.3502,1.3597,1.3458,1.3582,64106
2013-02-06,1.3581,1.3595,1.3494,1.3518,58827
2013-02-07,1.3517,1.3577,1.3371,1.3394,63280
2013-02-08,1.3395,1.3428,1.3353,1.3361,56801
2013-02-11,1.3368,1.3426,1.3356,1.3402,50788
2013-02-12,1.3401,1.3475,1.3364,1.3452,55790
2013-02-13,1.3452,1.3519,1.3426,1.3448,52950
2013-02-14,1.3448,1.3455,1.3315,1.3357,57620
2013-02-15,1.3357,1.3393,1.3306,1.3358,44266
2013-02-18,1.3348,1.3378,1.3321,1.3352,30013
2013-02-19,1.3352,1.3395,1.3329,1.3385,34759
2013-02-20,1.3385,1.3432,1.3271,1.3287,40208
2013-02-21,1.3287,1.3289,1.3161,1.3192,41856
2013-02-22,1.3192,1.3244,1.3145,1.3191,36020
2013-02-25,1.3190,1.3318,1.3049,1.3057,51066
2013-02-26,1.3057,1.3121,1.3018,1.3064,54147
2013-02-27,1.3065,1.3147,1.3041,1.3135,47288
2013-02-28,1.3135,1.3160,1.3053,1.3066,40009
2013-03-01,1.3066,1.3101,1.2966,1.3018,40350
2013-03-04,1.3014,1.3030,1.2982,1.3024,15805
2013-03-05,1.3025,1.3074,1.3012,1.3044,14700
2013-03-06,1.3044,1.3070,1.2965,1.2976,24486
2013-03-07,1.2977,1.3118,1.2973,1.3104,47153
2013-03-08,1.3104,1.3134,1.2955,1.3004,36352
2013-03-11,1.2989,1.3054,1.2979,1.3034,36137
2013-03-12,1.3034,1.3074,1.2991,1.3028,47365
2013-03-13,1.3028,1.3065,1.2923,1.2957,47362
2013-03-14,1.2957,1.3031,1.2911,1.3012,53321
2013-03-15,1.3012,1.3107,1.3002,1.3075,49765
2013-03-18,1.2907,1.2995,1.2882,1.2942,59157
2013-03-19,1.2942,1.2969,1.2844,1.2858,60018
2013-03-20,1.2858,1.2978,1.2857,1.2933,52707
2013-03-21,1.2933,1.2955,1.2880,1.2898,54341
2013-03-22,1.2898,1.3010,1.2888,1.2987,46525
2013-03-25,1.2972,1.3048,1.2830,1.2859,56987
2013-03-26,1.2860,1.2890,1.2829,1.2863,48150
2013-03-27,1.2863,1.2867,1.2751,1.2778,47403
2013-03-28,1.2779,1.2844,1.2755,1.2814,44316
2013-03-29,1.2814,1.2837,1.2793,1.2815,20433
2013-04-01,1.2811,1.2868,1.2771,1.2843,27167
2013-04-02,1.2843,1.2877,1.2809,1.2822,41697
2013-04-03,1.2822,1.2864,1.2790,1.2843,39340
2013-04-04,1.2843,1.2949,1.2745,1.2933,51336
2013-04-05,1.2933,1.3040,1.2900,1.2992,48511
2013-04-08,1.2994,1.3038,1.2968,1.3018,42375
2013-04-09,1.3018,1.3103,1.3005,1.3081,46645
2013-04-10,1.3081,1.3121,1.3052,1.3067,41753
2013-04-11,1.3067,1.3138,1.3043,1.3106,45086
2013-04-12,1.3106,1.3126,1.3037,1.3108,45206
2013-04-15,1.3102,1.3109,1.3021,1.3047,55627
2013-04-16,1.3047,1.3201,1.3028,1.3179,59273
2013-04-17,1.3179,1.3199,1.3001,1.3035,57946
2013-04-18,1.3035,1.3096,1.3021,1.3048,55587
2013-04-19,1.3049,1.3128,1.3047,1.3051,45677
2013-04-22,1.3069,1.3084,1.3015,1.3061,40961
2013-04-23,1.3061,1.3083,1.2973,1.3001,49025
2013-04-24,1.3001,1.3034,1.2955,1.3011,44259
2013-04-25,1.3011,1.3093,1.2989,1.3009,44918
2013-04-26,1.3009,1.3048,1.2991,1.3027,49241
2013-04-29,1.3058,1.3116,1.3032,1.3093,39215
2013-04-30,1.3093,1.3186,1.3054,1.3166,42841
2013-05-01,1.3167,1.3243,1.3160,1.3184,38963
2013-05-02,1.3184,1.3218,1.3038,1.3062,47452
2013-05-03,1.3062,1.3158,1.3032,1.3113,41727
2013-05-06,1.3117,1.3141,1.3053,1.3073,29352
2013-05-07,1.3073,1.3132,1.3068,1.3079,35949
2013-05-08,1.3079,1.3194,1.3072,1.3160,39917
2013-05-09,1.3159,1.3177,1.3010,1.3044,42819
2013-05-10,1.3045,1.3051,1.2935,1.2985,52419
2013-05-13,1.2976,1.2998,1.2942,1.2982,42328
2013-05-14,1.2982,1.3029,1.2913,1.2931,48751
2013-05-15,1.2931,1.2942,1.2843,1.2880,47559
2013-05-16,1.2881,1.2930,1.2846,1.2883,45602
2013-05-17,1.2883,1.2890,1.2796,1.2836,42052
2013-05-20,1.2845,1.2901,1.2819,1.2884,37774
2013-05-21,1.2884,1.2933,1.2841,1.2906,44374
2013-05-22,1.2906,1.2998,1.2833,1.2853,58662
2013-05-23,1.2853,1.2956,1.2821,1.2932,71861
2013-05-24,1.2932,1.2993,1.2904,1.2928,60141
2013-05-27,1.2936,1.2949,1.2915,1.2933,28779
2013-05-28,1.2933,1.2950,1.2849,1.2852,57184
2013-05-29,1.2852,1.2977,1.2838,1.2940,64374
2013-05-30,1.2940,1.3061,1.2933,1.3044,64449
2013-05-31,1.3046,1.3059,1.2944,1.2996,63023
2013-06-03,1.2992,1.3107,1.2955,1.3070,57303
2013-06-04,1.3070,1.3101,1.3043,1.3082,56611
2013-06-05,1.3082,1.3116,1.3053,1.3092,62140
2013-06-06,1.3092,1.3304,1.3075,1.3245,65838
2013-06-07,1.3245,1.3284,1.3192,1.3217,70848
2013-06-10,1.3192,1.3269,1.3177,1.3257,55336
2013-06-11,1.3257,1.3317,1.3232,1.3314,67927
2013-06-12,1.3314,1.3359,1.3266,1.3337,60716
2013-06-13,1.3337,1.3390,1.3279,1.3376,65269
2013-06-14,1.3373,1.3373,1.3295,1.3344,56672
2013-06-17,1.3349,1.3380,1.3318,1.3362,45015
2013-06-18,1.3362,1.3416,1.3326,1.3394,54620
2013-06-19,1.3394,1.3416,1.3262,1.3296,53778
2013-06-20,1.3296,1.3301,1.3161,1.3227,80023
2013-06-21,1.3227,1.3254,1.3099,1.3121,65213
2013-06-24,1.3104,1.3144,1.3059,1.3123,66324
2013-06-25,1.3123,1.3151,1.3065,1.3082,62448
2013-06-26,1.3082,1.3087,1.2985,1.3007,62392
2013-06-27,1.3012,1.3054,1.3000,1.3038,48582
2013-06-28,1.3038,1.3102,1.2991,1.3008,50885
2013-07-01,1.3014,1.3070,1.3005,1.3061,46839
