time,open,high,low,close,volume
2012-12-04,132.2440,132.2920,131.5380,131.8150,84896
2012-12-05,131.8160,132.7310,131.6580,132.6070,66085
2012-12-06,132.6050,132.8860,132.0350,132.1700,82919
2012-12-07,132.1740,132.5850,131.6660,132.2550,78776
2012-12-10,132.3600,132.4360,131.6570,132.3370,73449
2012-12-11,132.3550,133.0540,132.3130,132.9810,75329
2012-12-12,132.9780,134.6000,132.8780,134.2110,86587
2012-12-13,134.2100,135.0590,134.1120,134.6820,89388
2012-12-14,134.6810,135.3820,134.2860,135.0170,90102
2012-12-17,136.1490,136.1900,135.4310,135.8370,93171
2012-12-18,135.8390,136.9140,135.8030,136.8720,88853
2012-12-19,136.8730,137.8350,136.2890,136.6220,96403
2012-12-20,136.6230,137.5120,136.2020,137.2550,92193
2012-12-21,137.2560,137.3720,135.8650,136.1890,94471
2012-12-24,136.3210,136.9240,136.2210,136.7440,58125
2012-12-26,137.5190,138.2030,137.3950,137.9100,60849
2012-12-27,137.9100,139.1500,137.8870,138.9100,98260
2012-12-28,138.8960,139.4930,138.1770,138.6690,91692
2012-12-31,138.7200,140.9340,138.6570,140.6560,66713
2013-01-01,140.9170,141.1150,140.7050,141.0850,1182
2013-01-02,141.0830,142.7330,140.5330,141.9080,105042
2013-01-03,141.9070,141.9450,140.1580,140.6020,93447
2013-01-04,140.6010,141.7870,140.4500,141.6150,101393
2013-01-07,141.9980,142.0030,140.4860,141.0230,97247
2013-01-08,141.0250,141.4330,139.3720,139.4330,100826
2013-01-09,139.4290,141.0840,139.4150,140.9760,103221
2013-01-10,140.9750,144.0040,140.8310,143.7180,111533
2013-01-11,143.7200,144.3720,142.9910,143.8140,106364
2013-01-14,144.3400,144.7690,142.8290,143.7930,101760
2013-01-15,143.7910,144.1460,141.6370,142.6290,116234
2013-01-16,142.6280,142.6720,140.4920,141.6710,114676
2013-01-17,141.6700,144.2170,140.8340,143.8830,123237
2013-01-18,143.8830,144.0730,142.5000,142.9000,112586
2013-01-21,142.9060,143.0060,141.7360,142.2120,95478
2013-01-22,142.2140,142.7510,139.7810,140.5460,119382
2013-01-23,140.5450,140.8170,139.2400,140.1230,110858
2013-01-24,140.1240,142.8840,139.8410,142.7570,112988
2013-01-25,142.7550,144.2250,142.4540,143.5660,107038
2013-01-28,143.6780,143.9450,142.1370,142.2130,104092
2013-01-29,142.2080,143.1020,141.8610,142.9820,106580
2013-01-30,142.9810,144.1680,142.8640,143.8180,107829
2013-01-31,143.8100,145.5330,143.4110,145.4570,108412
2013-02-01,145.4550,146.4630,144.8830,145.6180,115682
2013-02-04,145.7630,146.5870,144.8280,145.0370,111176
2013-02-05,145.0360,147.2260,144.9050,146.7380,118775
2013-02-06,146.7370,147.2240,145.9330,146.4600,116773
2013-02-07,146.4590,147.9480,145.9750,147.2430,116700
2013-02-08,147.2450,147.2520,145.0430,146.4650,111328
2013-02-11,146.1550,147.8720,145.9460,147.4540,105304
2013-02-12,147.4550,147.7320,145.2680,146.1410,116191
2013-02-13,146.1390,146.4270,144.7040,144.8240,110763
2013-02-14,144.8250,145.3470,143.5510,143.9020,113326
2013-02-15,143.9010,145.6250,142.7500,144.9780,113698
2013-02-18,145.3390,145.8300,144.9950,145.2380,89649
2013-02-19,145.2410,145.3370,143.8530,144.2700,88484
2013-02-20,144.2710,144.7050,142.4150,142.7460,103298
2013-02-21,142.7470,142.9200,141.3190,141.7770,108742
2013-02-22,141.7750,143.0140,141.5200,141.6210,99807
2013-02-25,142.3380,142.7820,137.8770,139.7350,120506
2013-02-26,139.7370,140.5480,137.8760,139.1230,126242
2013-02-27,139.1150,139.9100,138.1370,139.7690,114992
2013-02-28,139.7670,140.8750,139.4570,140.4640,105369
2013-03-01,140.4680,140.9010,139.1030,140.6960,101675
2013-03-04,140.6090,141.3380,140.1970,141.2730,12823
2013-03-05,141.2660,141.4260,140.5650,141.1760,14368
2013-03-06,141.1710,141.4900,140.5420,140.8170,32177
2013-03-07,140.8190,142.9980,140.5890,142.4920,62677
2013-03-08,142.4940,144.6060,142.4510,143.2140,49053
2013-03-11,143.3540,144.1100,142.8120,144.0470,45436
2013-03-12,144.0470,144.1290,142.0060,142.8420,62076
2013-03-13,142.8410,143.8150,142.6380,143.2900,61630
2013-03-14,143.2890,145.0190,143.0210,144.8870,62583
2013-03-15,144.8920,145.8670,143.7990,143.9970,63080
2013-03-18,143.3770,144.3440,142.3530,143.9520,69866
2013-03-19,143.9560,144.6290,143.1590,143.4070,67066
2013-03-20,143.4030,145.2550,143.2270,144.9750,67801
2013-03-21,144.9780,145.2130,143.4450,144.2460,72663
2013-03-22,144.2480,144.5380,143.0200,143.8570,63218
2013-03-25,144.1540,144.7760,141.8870,142.9830,69968
2013-03-26,142.9880,143.5370,142.4710,143.4830,62686
2013-03-27,143.4820,143.8040,142.0430,142.7260,60393
2013-03-28,142.7270,143.2440,142.2020,143.2210,61836
2013-03-29,143.2170,143.2710,142.5800,143.2220,39755
2013-04-01,143.2220,143.3940,141.6890,141.9110,42844
2013-04-02,141.9110,142.0800,140.9520,141.0260,54084
2013-04-03,141.0240,141.5240,140.4600,140.8420,52119
2013-04-04,140.8460,146.8620,140.3800,146.7460,73238
2013-04-05,146.7470,150.0390,145.9510,149.5580,79612
2013-04-08,150.6060,151.8510,150.2760,151.8360,75285
2013-04-09,151.8410,152.3800,150.5550,151.9320,73686
2013-04-10,151.9320,153.0410,151.3800,152.9620,64492
2013-04-11,152.9620,153.8510,152.2880,153.5270,64826
2013-04-12,153.5200,153.5200,150.5400,150.8700,65177
2013-04-15,150.8210,151.7210,146.4240,147.6680,85335
2013-04-16,147.6820,150.2840,147.5700,150.2440,82881
2013-04-17,150.2080,151.1570,148.1080,149.7480,83454
2013-04-18,149.7460,150.4740,148.7300,150.0610,77806
2013-04-19,150.0600,152.5120,149.8670,151.5280,69335
2013-04-22,151.9590,152.2150,150.8980,151.7910,63929
2013-04-23,151.7910,152.0180,149.9670,151.3940,69950
2013-04-24,151.3830,152.2960,151.0920,151.9160,62359
2013-04-25,151.9160,153.7670,151.4310,153.2920,65343
2013-04-26,153.2860,153.4180,151.1150,151.6890,75319
2013-04-29,151.6490,152.2040,151.0400,151.5660,55258
2013-04-30,151.5660,151.9740,150.7460,151.2690,61175
2013-05-01,151.2700,152.2320,150.8450,151.3090,55069
2013-05-02,151.3110,153.2370,150.9440,152.0680,62598
2013-05-03,152.0720,154.6760,152.0480,154.1310,55713
2013-05-06,154.3140,154.7860,154.1490,154.3420,40492
2013-05-07,154.3420,154.4880,153.0120,153.1970,56746
2013-05-08,153.1970,154.1120,152.7320,153.7420,58707
2013-05-09,153.7390,155.8040,153.2630,155.4470,66582
2013-05-10,155.4470,156.6770,155.3230,156.0310,74425
2013-05-13,156.2750,156.7590,155.5620,155.7120,65779
2013-05-14,155.7090,156.0610,154.9690,155.6250,69076
2013-05-15,155.6280,156.4610,155.4060,155.6720,71938
2013-05-16,155.6800,156.5080,155.3590,156.1210,71388
2013-05-17,156.1310,156.6990,155.6810,156.5110,65774
2013-05-20,155.9120,156.2920,155.5800,156.0190,67052
2013-05-21,156.0190,156.5370,155.1270,155.2910,68796
2013-05-22,155.2870,156.0990,154.5540,155.1140,87612
2013-05-23,155.1150,155.5830,151.7930,154.0640,121050
2013-05-24,154.0640,154.7460,152.2890,153.0800,107906
2013-05-27,153.1590,153.2520,152.3530,152.7080,65481
2013-05-28,152.7150,154.6560,152.6390,153.7470,106412
2013-05-29,153.7710,154.0390,152.2330,152.9770,114720
2013-05-30,152.9770,154.0180,152.2560,153.5020,118398
2013-05-31,153.5000,154.2260,152.3720,152.5890,113881
2013-06-03,152.8010,153.2420,151.9380,152.3210,104629
2013-06-04,152.3330,153.8030,152.3220,153.2030,101988
2013-06-05,153.2140,153.7470,152.3920,152.7370,112887
2013-06-06,152.5700,153.5660,150.2970,151.2340,111103
2013-06-07,151.2350,152.0060,148.1610,151.6980,133982
2013-06-10,151.8950,154.1830,151.7400,153.7500,102644
2013-06-11,153.7480,154.1880,149.3440,150.1890,125301
2013-06-12,150.1890,152.0090,149.2930,150.5210,109807
2013-06-13,150.5090,150.5650,147.0910,149.8780,126200
2013-06-14,150.2770,150.3920,147.4090,147.6510,115345
2013-06-17,147.9820,149.4450,147.9770,148.7870,89840
2013-06-18,148.7980,149.5840,148.4290,149.1740,93594
2013-06-19,149.1790,150.3060,148.2660,149.1200,96970
2013-06-20,149.1190,151.9230,148.8680,150.8680,130175
2013-06-21,150.8680,151.9220,149.7490,150.8690,112177
2013-06-24,150.8210,151.7370,149.7120,150.8350,115379
2013-06-25,150.8240,151.4550,149.6680,151.0730,103207
2013-06-26,151.0950,151.3840,149.2480,149.7260,100788
2013-06-27,149.6190,150.5710,149.3650,150.0320,84852
2013-06-28,150.0300,151.1380,149.9700,150.7410,93313
2013-07-01,150.8590,152.0640,150.8230,151.5770,79137
2013-07-02,151.5770,152.7280,151.2490,152.4750,82174
2013-07-03,152.4750,153.0160,151.2350,152.7020,93530
2013-07-04,152.7050,152.8670,150.2880,150.8750,75059
2013-07-05,150.8730,151.1130,149.4840,150.5750,87701
2013-07-08,150.6470,151.1310,150.1970,150.8040,79353
2013-07-09,150.8030,151.6030,149.7780,150.2520,87219
2013-07-10,150.2610,150.3640,148.7720,149.8830,97020
2013-07-11,149.8800,150.6240,148.9400,150.3040,122788
2013-07-12,150.3040,150.6640,149.4190,149.7590,77794
2013-07-15,150.0340,151.2600,149.6840,150.9140,67752
2013-07-16,150.9070,151.1100,149.7970,150.1900,83249
2013-07-17,150.1960,152.0530,149.9210,151.5020,85642
2013-07-18,151.4750,153.1320,151.3680,153.0600,83472
2013-07-19,153.0520,153.6590,152.1680,153.4300,83034
2013-07-22,153.2080,153.5920,152.3580,152.9610,78919
2013-07-23,152.9640,153.6660,152.3290,152.9220,82133
2013-07-24,152.9220,154.0430,152.8070,153.5470,81958
2013-07-25,153.5470,153.8220,152.2530,152.6810,92400
2013-07-26,152.7080,152.8290,150.7230,151.1330,85965
2013-07-29,151.1770,151.1920,149.9970,150.2110,81317
2013-07-30,150.2140,150.9170,149.1870,149.3730,78839
2013-07-31,149.3730,149.5130,148.2850,148.6090,93188
2013-08-01,148.6190,150.6810,148.2460,150.4230,85908
2013-08-02,150.4180,151.5390,150.2040,151.2490,83117
2013-08-05,151.2700,151.4900,150.3230,150.8620,74537
2013-08-06,150.8730,151.4330,149.8870,150.0620,79189
2013-08-07,150.0620,150.6930,147.6000,149.2660,97190
2013-08-08,149.2660,150.3080,148.9280,150.0800,86222
2013-08-09,150.0730,150.6550,149.0480,149.0480,72208
2013-08-12,149.2860,150.1680,148.8520,150.1150,69470
2013-08-13,150.1130,152.0840,150.0470,151.7390,82334
2013-08-14,151.7390,152.5800,151.1930,151.9440,76083
2013-08-15,151.9480,153.2360,151.4870,152.1280,97199
2013-08-16,152.1310,152.7480,151.7780,152.3780,74667
2013-08-19,152.5830,153.5680,152.2040,152.7480,72804
2013-08-20,152.7480,153.1100,151.7320,152.4050,81352
2013-08-21,152.4030,153.6380,152.1150,152.9570,84361
2013-08-22,152.9670,154.0130,152.6480,153.9180,80350
2013-08-23,153.9030,154.6650,153.4130,153.6530,72333
2013-08-26,153.6010,153.9710,153.2340,153.3330,52931
2013-08-27,153.3460,153.4830,150.6980,150.8150,83523
2013-08-28,150.8260,151.8890,150.4680,151.6880,81418
2013-08-29,151.6780,152.6590,151.5000,152.4180,76438
2013-08-30,152.4180,152.6590,151.6770,152.0080,70362
2013-09-02,152.5730,154.9230,152.4100,154.4780,61947
2013-09-03,154.4780,155.4380,154.4280,154.8890,70719
2013-09-04,154.9080,155.9950,154.7560,155.8430,65290
2013-09-05,155.8480,156.4210,155.4920,156.1460,67112
2013-09-06,156.1460,156.2110,154.1370,154.8680,58392
2013-09-09,155.9340,156.6330,155.5020,156.3240,61972
2013-09-10,156.3190,158.0540,156.1730,157.9130,64172
2013-09-11,157.9170,158.5390,157.5100,158.1780,66935
2013-09-12,158.1680,158.2030,156.6950,157.2550,67971
2013-09-13,157.2550,157.9670,157.1950,157.7130,59948
2013-09-16,157.4580,157.9280,157.3180,157.5180,56873
2013-09-17,157.5180,158.1530,157.4070,157.6630,56094
2013-09-18,157.6730,158.3760,157.3380,158.3580,65077
2013-09-19,158.3610,159.9750,158.1780,159.3340,74977
2013-09-20,159.3390,159.6840,158.9170,158.9170,58279
2013-09-23,158.8120,159.0410,158.1970,158.4820,52602
2013-09-24,158.4900,158.9570,157.3430,157.9630,60366
2013-09-25,157.9840,158.8170,157.3690,158.2570,59635
2013-09-26,158.2600,159.2630,158.0170,158.7340,64729
2013-09-27,158.7230,159.0870,158.2540,158.4770,60606
2013-09-30,157.8480,159.4190,157.3920,158.9880,71244
2013-10-01,158.9810,159.9430,158.4440,158.7070,73163
2013-10-02,158.7020,158.8050,157.4970,158.0480,68529
2013-10-03,158.0460,158.8380,156.7040,157.0950,68614
2013-10-04,157.1000,157.3660,155.7190,156.0120,64861
2013-10-07,155.9060,156.1740,155.3970,155.5670,64701
2013-10-08,155.5770,156.6510,155.4340,155.8070,65697
2013-10-09,155.8110,156.5540,154.7200,155.3180,68633
2013-10-10,155.3270,157.0220,155.2940,156.9560,64950
2013-10-11,156.9580,157.5170,156.4320,157.1440,59586
2013-10-14,156.8360,157.7060,156.8070,157.6320,41273
2013-10-15,157.6320,157.7040,156.7640,157.0780,63613
2013-10-16,157.1050,158.0260,156.9300,157.6100,68434
2013-10-17,157.6310,158.2950,157.0660,158.2070,70519
2013-10-18,158.1980,158.6720,157.9660,157.9710,56185
2013-10-21,158.3840,158.7600,158.1900,158.4770,50117
2013-10-22,158.4960,159.5260,158.2890,159.2150,54613
2013-10-23,159.2150,159.3620,156.8620,157.3170,68954
2013-10-24,157.3210,158.1970,157.0480,157.6590,66743
2013-10-25,157.6760,157.9540,157.1300,157.4320,65282
2013-10-28,157.7180,158.2990,157.5720,157.6220,53825
2013-10-29,157.6190,157.6670,156.7530,157.5560,65982
2013-10-30,157.5560,158.1740,157.3400,157.8770,62263
2013-10-31,157.8830,157.9540,157.2800,157.7790,68213
2013-11-01,157.7790,157.7950,156.8220,157.0810,63129
2013-11-04,157.1810,157.6760,157.0960,157.4720,41978
2013-11-05,157.4740,158.2470,156.6350,158.1020,61551
2013-11-06,158.1020,158.9870,157.9220,158.6080,53044
2013-11-07,158.6090,159.2690,157.3020,158.0220,70562
2013-11-08,158.0180,158.8520,157.5410,158.6000,65825
