time,open,high,low,close,volume
2012-12-04,1.6094,1.6130,1.6086,1.6100,53379
2012-12-05,1.6100,1.6118,1.6082,1.6091,49718
2012-12-06,1.6092,1.6127,1.6035,1.6041,56703
2012-12-07,1.6041,1.6060,1.6002,1.6037,55445
2012-12-10,1.6034,1.6096,1.6013,1.6075,46446
2012-12-11,1.6074,1.6121,1.6068,1.6115,49632
2012-12-12,1.6115,1.6171,1.6094,1.6137,52561
2012-12-13,1.6137,1.6153,1.6084,1.6110,51590
2012-12-14,1.6110,1.6177,1.6103,1.6172,51933
2012-12-17,1.6180,1.6216,1.6157,1.6198,49365
2012-12-18,1.6198,1.6269,1.6195,1.6245,48318
2012-12-19,1.6245,1.6306,1.6238,1.6249,55493
2012-12-20,1.6250,1.6295,1.6241,1.6275,53755
2012-12-21,1.6276,1.6276,1.6151,1.6169,57777
2012-12-24,1.6157,1.6206,1.6101,1.6132,37739
2012-12-26,1.6126,1.6170,1.6107,1.6133,36363
2012-12-27,1.6134,1.6202,1.6066,1.6100,54446
2012-12-28,1.6101,1.6170,1.6078,1.6145,44096
2012-12-31,1.6164,1.6274,1.6133,1.6241,37577
2013-01-01,1.6243,1.6257,1.6224,1.6251,1213
2013-01-02,1.6252,1.6381,1.6225,1.6252,72806
2013-01-03,1.6252,1.6253,1.6057,1.6082,48285
2013-01-04,1.6082,1.6099,1.6010,1.6068,49710
2013-01-07,1.6077,1.6127,1.6020,1.6127,47491
2013-01-08,1.6126,1.6127,1.6029,1.6058,46960
2013-01-09,1.6058,1.6075,1.5993,1.6016,48890
2013-01-10,1.6016,1.6176,1.6004,1.6162,57297
2013-01-11,1.6163,1.6170,1.6089,1.6127,50853
2013-01-14,1.6128,1.6154,1.6032,1.6073,50512
2013-01-15,1.6072,1.6100,1.6032,1.6060,60638
2013-01-16,1.6060,1.6080,1.5975,1.5998,58007
2013-01-17,1.5998,1.6039,1.5955,1.5997,62096
2013-01-18,1.5996,1.5998,1.5854,1.5866,60040
2013-01-21,1.5853,1.5893,1.5806,1.5835,46861
2013-01-22,1.5835,1.5883,1.5809,1.5837,59866
2013-01-23,1.5837,1.5892,1.5802,1.5830,54863
2013-01-24,1.5830,1.5851,1.5756,1.5789,55151
2013-01-25,1.5790,1.5826,1.5745,1.5796,55334
2013-01-28,1.5778,1.5785,1.5674,1.5690,51300
2013-01-29,1.5690,1.5773,1.5690,1.5757,51625
2013-01-30,1.5757,1.5815,1.5726,1.5795,55078
2013-01-31,1.5795,1.5875,1.5775,1.5859,54861
2013-02-01,1.5859,1.5878,1.5690,1.5691,61632
2013-02-04,1.5704,1.5771,1.5693,1.5750,52970
2013-02-05,1.5750,1.5804,1.5630,1.5660,58701
2013-02-06,1.5660,1.5678,1.5630,1.5663,53654
2013-02-07,1.5662,1.5767,1.5645,1.5713,61930
2013-02-08,1.5713,1.5843,1.5705,1.5797,55947
2013-02-11,1.5790,1.5809,1.5645,1.5648,51118
2013-02-12,1.5648,1.5683,1.5573,1.5678,56112
2013-02-13,1.5677,1.5688,1.5524,1.5537,54307
2013-02-14,1.5537,1.5542,1.5475,1.5494,53243
2013-02-15,1.5494,1.5549,1.5462,1.5516,36231
2013-02-18,1.5499,1.5508,1.5438,1.5469,30857
2013-02-19,1.5469,1.5503,1.5414,1.5421,29314
2013-02-20,1.5422,1.5450,1.5193,1.5236,34814
2013-02-21,1.5237,1.5273,1.5131,1.5251,38712
2013-02-22,1.5251,1.5319,1.5160,1.5160,32582
2013-02-25,1.5107,1.5198,1.5087,1.5163,43525
2013-02-26,1.5163,1.5218,1.5113,1.5129,41781
2013-02-27,1.5129,1.5188,1.5080,1.5160,37734
2013-02-28,1.5160,1.5222,1.5149,1.5167,33602
2013-03-01,1.5167,1.5185,1.4986,1.5036,35976
2013-03-04,1.5030,1.5116,1.5000,1.5114,15844
2013-03-05,1.5114,1.5198,1.5094,1.5125,14373
2013-03-06,1.5125,1.5152,1.4966,1.4983,26220
2013-03-07,1.4982,1.5082,1.4967,1.5012,49989
2013-03-08,1.5012,1.5047,1.4886,1.4922,34841
2013-03-11,1.4908,1.4943,1.4866,1.4909,33624
2013-03-12,1.4909,1.4916,1.4829,1.4897,41195
2013-03-13,1.4897,1.4981,1.4892,1.4920,44758
