time,open,high,low,close,volume
2012-12-04,0.9948,0.9953,0.9914,0.9931,64571
2012-12-05,0.9931,0.9941,0.9907,0.9920,42614
2012-12-06,0.9920,0.9926,0.9892,0.9917,64082
2012-12-07,0.9916,0.9933,0.9875,0.9883,60687
2012-12-10,0.9871,0.9888,0.9860,0.9861,57574
2012-12-11,0.9861,0.9879,0.9857,0.9861,58745
2012-12-12,0.9861,0.9865,0.9825,0.9846,60501
2012-12-13,0.9845,0.9855,0.9824,0.9844,59580
2012-12-14,0.9845,0.9865,0.9831,0.9854,61305
2012-12-17,0.9856,0.9881,0.9831,0.9837,59171
2012-12-18,0.9836,0.9860,0.9831,0.9859,55979
2012-12-19,0.9859,0.9891,0.9849,0.9890,61380
2012-12-20,0.9890,0.9896,0.9869,0.9875,63123
2012-12-21,0.9876,0.9952,0.9874,0.9931,66789
2012-12-24,0.9933,0.9944,0.9910,0.9911,40197
2012-12-26,0.9919,0.9950,0.9912,0.9936,31283
2012-12-27,0.9936,0.9958,0.9908,0.9950,63363
2012-12-28,0.9950,0.9970,0.9938,0.9968,59377
2012-12-31,0.9953,0.9970,0.9909,0.9948,49824
2013-01-01,0.9928,0.9931,0.9920,0.9927,511
2013-01-02,0.9927,0.9943,0.9836,0.9854,65782
2013-01-03,0.9854,0.9887,0.9842,0.9885,65213
2013-01-04,0.9885,0.9923,0.9848,0.9871,68953
2013-01-07,0.9861,0.9884,0.9852,0.9858,63720
2013-01-08,0.9858,0.9882,0.9843,0.9866,65100
2013-01-09,0.9866,0.9880,0.9854,0.9877,66362
2013-01-10,0.9877,0.9880,0.9827,0.9832,72518
2013-01-11,0.9832,0.9853,0.9815,0.9847,72594
2013-01-14,0.9844,0.9866,0.9831,0.9840,72728
2013-01-15,0.9840,0.9866,0.9831,0.9843,81508
2013-01-16,0.9842,0.9877,0.9837,0.9862,74155
2013-01-17,0.9862,0.9885,0.9842,0.9856,77011
2013-01-18,0.9856,0.9946,0.9853,0.9915,77212
