time,open,high,low,close,volume
2012-12-03,0.9274,0.9278,0.9241,0.9253,86089
2012-12-04,0.9252,0.9293,0.9245,0.9266,87664
2012-12-05,0.9266,0.9299,0.9250,0.9262,58495
2012-12-06,0.9262,0.9339,0.9255,0.9331,86884
2012-12-07,0.9331,0.9382,0.9319,0.9343,80612
2012-12-10,0.9364,0.9369,0.9326,0.9335,77400
2012-12-11,0.9335,0.9369,0.9316,0.9317,82001
2012-12-12,0.9317,0.9326,0.9243,0.9264,81279
2012-12-13,0.9264,0.9275,0.9225,0.9236,84226
2012-12-14,0.9236,0.9247,0.9165,0.9174,82486
2012-12-17,0.9166,0.9194,0.9165,0.9177,77786
2012-12-18,0.9178,0.9186,0.9123,0.9133,78218
2012-12-19,0.9133,0.9153,0.9087,0.9148,90114
2012-12-20,0.9148,0.9148,0.9083,0.9113,85306
2012-12-21,0.9113,0.9178,0.9113,0.9155,89328
2012-12-24,0.9163,0.9170,0.9124,0.9154,52664
2012-12-26,0.9154,0.9157,0.9111,0.9131,51518
2012-12-27,0.9131,0.9157,0.9094,0.9133,84732
2012-12-28,0.9133,0.9181,0.9116,0.9133,81261
2012-12-31,0.9135,0.9166,0.9120,0.9146,63853
2013-01-01,0.9148,0.9153,0.9129,0.9145,1448
2013-01-02,0.9144,0.9198,0.9077,0.9173,102137
2013-01-03,0.9173,0.9279,0.9173,0.9272,93634
2013-01-04,0.9272,0.9302,0.9231,0.9244,94519
2013-01-07,0.9242,0.9286,0.9203,0.9204,92507
2013-01-08,0.9204,0.9257,0.9201,0.9240,93897
2013-01-09,0.9240,0.9273,0.9231,0.9257,91555
2013-01-10,0.9257,0.9268,0.9128,0.9138,100280
2013-01-11,0.9138,0.9178,0.9110,0.9133,98954
2013-01-14,0.9140,0.9228,0.9119,0.9221,103408
2013-01-15,0.9221,0.9332,0.9210,0.9323,115655
2013-01-16,0.9323,0.9329,0.9285,0.9308,105900
2013-01-17,0.9308,0.9359,0.9297,0.9325,110883
2013-01-18,0.9325,0.9388,0.9304,0.9337,107699
2013-01-21,0.9347,0.9349,0.9307,0.9321,87011
2013-01-22,0.9320,0.9346,0.9274,0.9288,107982
2013-01-23,0.9288,0.9315,0.9276,0.9300,97392
2013-01-24,0.9300,0.9324,0.9279,0.9285,98107
2013-01-25,0.9285,0.9306,0.9222,0.9263,102705
2013-01-28,0.9271,0.9292,0.9257,0.9264,98270
2013-01-29,0.9265,0.9267,0.9193,0.9217,96713
2013-01-30,0.9217,0.9226,0.9093,0.9112,100490
2013-01-31,0.9112,0.9120,0.9075,0.9100,98830
2013-02-01,0.9100,0.9108,0.9021,0.9075,106566
