time,open,high,low,close,volume
2012-12-04,82.1730,82.2060,81.7110,81.8880,72067
2012-12-05,81.8900,82.4730,81.7890,82.4150,53785
2012-12-06,82.4160,82.6100,82.1930,82.4050,69700
2012-12-07,82.4060,82.8180,82.1820,82.4780,67896
2012-12-10,82.5480,82.6300,82.1110,82.3410,61980
2012-12-11,82.3420,82.5670,82.2960,82.5330,60324
2012-12-12,82.5340,83.2890,82.4940,83.1800,75034
2012-12-13,83.1790,83.6670,83.1540,83.6140,78994
2012-12-14,83.6150,83.9570,83.3100,83.5000,83440
2012-12-17,84.1450,84.2050,83.6050,83.8720,81378
2012-12-18,83.8720,84.2810,83.8140,84.2660,77059
2012-12-19,84.2660,84.6100,83.9330,84.0910,86616
2012-12-20,84.0920,84.4500,83.8530,84.3410,83167
2012-12-21,84.3380,84.4360,83.8510,84.2340,86836
2012-12-24,84.3770,84.8650,84.3180,84.7720,50247
2012-12-26,85.2750,85.7150,85.2470,85.4850,50697
2012-12-27,85.4880,86.3170,85.4770,86.2810,91124
2012-12-28,86.2690,86.6250,85.8650,85.8650,83940
2012-12-31,85.8190,86.6800,85.8140,86.6100,60982
2013-01-01,86.6580,86.8420,86.6270,86.7650,1714
2013-01-02,86.7650,87.3420,86.5350,87.3240,96570
2013-01-03,87.3240,87.5460,86.7630,87.4310,86480
2013-01-04,87.4310,88.3970,87.3990,88.1400,100981
2013-01-07,88.3220,88.3220,87.3510,87.4560,95521
2013-01-08,87.4570,87.7880,86.8230,86.8410,97533
2013-01-09,86.8430,88.0650,86.8240,88.0340,98771
2013-01-10,88.0300,89.0300,87.9640,88.9230,102408
2013-01-11,88.9250,89.4350,88.7340,89.1760,105752
2013-01-14,89.4870,89.6380,89.0780,89.4760,95689
2013-01-15,89.4740,89.6230,88.2920,88.8190,113268
2013-01-16,88.8180,88.8490,87.7900,88.5680,111439
2013-01-17,88.5670,90.1050,88.1290,89.9530,120314
2013-01-18,89.9520,90.1820,89.6320,90.0830,105490
2013-01-21,90.1480,90.2280,89.3360,89.8130,91509
2013-01-22,89.8140,90.1180,88.3640,88.7520,117091
2013-01-23,88.7510,88.7890,88.0560,88.5380,106533
2013-01-24,88.5350,90.5310,88.4160,90.4200,111112
2013-01-25,90.4220,91.1920,90.2850,90.8770,106284
2013-01-28,91.0590,91.2480,90.5590,90.6520,98543
2013-01-29,90.6480,91.0080,90.3240,90.7530,104027
2013-01-30,90.7550,91.4010,90.7120,91.0660,102076
2013-01-31,91.0650,91.7970,90.7420,91.7330,102365
2013-02-01,91.7320,92.9520,91.6130,92.7890,109464
2013-02-04,92.8300,93.1780,91.9760,92.0950,111694
2013-02-05,92.0920,93.7770,92.0710,93.7090,120867
2013-02-06,93.7100,94.0450,93.2770,93.5170,117089
2013-02-07,93.5180,93.9120,93.0820,93.7140,112292
2013-02-08,93.7130,93.7250,92.1670,92.6720,108175
2013-02-11,92.5640,94.4310,92.4480,94.2380,98843
2013-02-12,94.2390,94.4030,92.9640,93.2210,113427
2013-02-13,93.2220,93.7720,92.8190,93.2210,107206
2013-02-14,93.2220,93.7070,92.6760,92.8820,111427
2013-02-15,92.8810,93.8340,92.2200,93.5050,114650
2013-02-18,93.8780,94.2080,93.7080,93.9040,87446
2013-02-19,93.9060,93.9430,93.2920,93.5680,90396
2013-02-20,93.5640,94.0290,93.1360,93.6990,101970
2013-02-21,93.6980,93.8560,92.7710,92.9760,106891
2013-02-22,92.9750,93.5060,92.9220,93.4050,97914
